priority,taxon_id,taxon_kind,scientific_name,language,existing_name,selected_candidate_name,selected_source,selected_source_priority,display_status,recommendation,conflict_status,alternatives,affected_target_count,affected_ready_target_count,relationship_occurrence_count,projected_unlock_value,reviewer,reviewed_name,review_confidence,review_source,review_notes,apply_status
P1,taxon:birds:000001,canonical_taxon,Columba palumbus,fr,,Pigeon ramier,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,3,3,4,0,,,,,,pending
P1,taxon:birds:000001,canonical_taxon,Columba palumbus,en,Common Wood-Pigeon,Common Wood-Pigeon,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000001,canonical_taxon,Columba palumbus,nl,,Houtduif,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000002,canonical_taxon,Corvus corone,fr,,Corneille noire,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,6,6,8,0,,,,,,pending
P1,taxon:birds:000002,canonical_taxon,Corvus corone,en,Carrion Crow,Carrion Crow,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,6,6,8,6,,,,,,pending
P1,taxon:birds:000002,canonical_taxon,Corvus corone,nl,,Zwarte Kraai,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,6,6,8,6,,,,,,pending
P1,taxon:birds:000003,canonical_taxon,Cyanistes caeruleus,fr,,Mésange bleue,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000003,canonical_taxon,Cyanistes caeruleus,en,Eurasian Blue Tit,Eurasian Blue Tit,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000003,canonical_taxon,Cyanistes caeruleus,nl,,Pimpelmees,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000004,canonical_taxon,Erithacus rubecula,fr,,Rougegorge familier,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,8,8,8,0,,,,,,pending
P1,taxon:birds:000004,canonical_taxon,Erithacus rubecula,en,European Robin,European Robin,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,8,8,8,8,,,,,,pending
P1,taxon:birds:000004,canonical_taxon,Erithacus rubecula,nl,,Roodborst,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,8,8,8,8,,,,,,pending
P1,taxon:birds:000005,canonical_taxon,Fringilla coelebs,fr,,Pinson des arbres,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,8,8,10,0,,,,,,pending
P1,taxon:birds:000005,canonical_taxon,Fringilla coelebs,en,Common Chaffinch,Common Chaffinch,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,8,8,10,8,,,,,,pending
P1,taxon:birds:000005,canonical_taxon,Fringilla coelebs,nl,,Vink,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,8,8,10,8,,,,,,pending
P1,taxon:birds:000006,canonical_taxon,Garrulus glandarius,fr,,Geai des chênes,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,5,5,,,,,,pending
P1,taxon:birds:000006,canonical_taxon,Garrulus glandarius,en,Eurasian Jay,Eurasian Jay,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,5,5,,,,,,pending
P1,taxon:birds:000006,canonical_taxon,Garrulus glandarius,nl,,Gaai,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,5,5,,,,,,pending
P3,taxon:birds:000007,canonical_taxon,Motacilla alba,fr,,Bergeronnette grise,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,0,0,0,0,,,,,,pending
P3,taxon:birds:000007,canonical_taxon,Motacilla alba,en,White Wagtail,White Wagtail,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,0,0,0,0,,,,,,pending
P3,taxon:birds:000007,canonical_taxon,Motacilla alba,nl,,Witte kwikstaart,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,0,0,0,0,,,,,,pending
P1,taxon:birds:000008,canonical_taxon,Parus major,fr,,Mésange charbonnière,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000008,canonical_taxon,Parus major,en,Great Tit,Great Tit,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000008,canonical_taxon,Parus major,nl,,Koolmees,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000009,canonical_taxon,Passer domesticus,fr,,Moineau domestique,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,10,10,10,0,,,,,,pending
P1,taxon:birds:000009,canonical_taxon,Passer domesticus,en,House Sparrow,House Sparrow,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,10,10,10,10,,,,,,pending
P1,taxon:birds:000009,canonical_taxon,Passer domesticus,nl,,Huismus,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,10,10,10,10,,,,,,pending
P1,taxon:birds:000010,canonical_taxon,Pica pica,fr,,Pie bavarde,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,7,7,7,0,,,,,,pending
P1,taxon:birds:000010,canonical_taxon,Pica pica,en,Eurasian Magpie,Eurasian Magpie,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,7,7,7,7,,,,,,pending
P1,taxon:birds:000010,canonical_taxon,Pica pica,nl,,Ekster,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,7,7,7,7,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,fr,,Étourneau sansonnet,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,en,European Starling,European Starling,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,nl,,Spreeuw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,fr,,Fauvette à tête noire,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,en,Eurasian Blackcap,Eurasian Blackcap,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,nl,,Zwartkop,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,fr,,Troglodyte mignon,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,3,3,3,0,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,en,Eurasian Wren,Eurasian Wren,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,nl,,Winterkoning,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,fr,,Merle noir,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,8,8,9,0,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,en,Eurasian Blackbird,Eurasian Blackbird,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,8,8,9,8,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,nl,,Merel,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,8,8,9,8,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,fr,,Grive musicienne,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,4,4,5,0,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,en,Song Thrush,Song Thrush,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,nl,,Zanglijster,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000016,canonical_taxon,Carduelis carduelis,fr,,Chardonneret élégant,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000016,canonical_taxon,Carduelis carduelis,en,European Goldfinch,European Goldfinch,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,6,5,,,,,,pending
