taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
taxon:birds:000001,canonical_taxon,Columba palumbus,fr,Palombe,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000001,canonical_taxon,Columba palumbus,en,Common Wood-Pigeon,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000001,canonical_taxon,Columba palumbus,nl,Houtduif,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000002,canonical_taxon,Corvus corone,fr,Corbeau corneille,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000002,canonical_taxon,Corvus corone,en,Carrion Crow,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000002,canonical_taxon,Corvus corone,nl,Zwarte Kraai,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000003,canonical_taxon,Cyanistes caeruleus,fr,Mésange bleue,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000003,canonical_taxon,Cyanistes caeruleus,nl,Pimpelmees,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000004,canonical_taxon,Erithacus rubecula,fr,Rouge-gorge familier,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000004,canonical_taxon,Erithacus rubecula,nl,Roodborst,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000005,canonical_taxon,Fringilla coelebs,fr,Pinson des arbres,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000005,canonical_taxon,Fringilla coelebs,nl,Vink,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000006,canonical_taxon,Garrulus glandarius,fr,Geai des chênes,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000006,canonical_taxon,Garrulus glandarius,nl,Gaai,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000007,canonical_taxon,Motacilla alba,fr,Bergeronnette grise,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000007,canonical_taxon,Motacilla alba,nl,Witte kwikstaart,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000008,canonical_taxon,Parus major,fr,Mésange charbonnière,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000008,canonical_taxon,Parus major,nl,Koolmees,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000009,canonical_taxon,Passer domesticus,fr,Moineau domestique,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000009,canonical_taxon,Passer domesticus,nl,Huismus,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
