review_item_id,review_priority,review_focus,local_image_path,scientific_name,common_name_en,evidence_type,policy_status,recommended_uses,borderline_uses,blocked_uses,reviewer_overall_judgment,reviewer_notes,adjudication_decision,adjudication_rationale,follow_up_bucket,follow_up_detail,adjudicator_name,adjudicated_at
pmp-policy-review-0138,high,schema_or_profile_failure,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/14306882.jpg,Podiceps cristatus,Great Crested Grebe,,profile_failed,,,,,,,,,,,
pmp-policy-review-0283,high,schema_or_profile_failure,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/264553506.jpeg,Podiceps cristatus,Great Crested Grebe,,profile_failed,,,,,,,,,,,
pmp-policy-review-0284,high,schema_or_profile_failure,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/264553526.jpeg,Larus argentatus,European Herring Gull,,profile_failed,,,,,,,,,,,
pmp-policy-review-0213,high,schema_or_profile_failure,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/197128124.jpg,Coccothraustes coccothraustes,Hawfinch,,profile_failed,,,,,,,,,,,
pmp-policy-review-0335,high,pre_ai_rejected,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/30487921.jpg,Phoenicurus ochruros,Black Redstart,,pre_ai_rejected,,,,,,,,,,,
pmp-policy-review-0157,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/155810806.jpeg,Falco peregrinus,Peregrine Falcon,multiple_organisms,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|indirect_evidence_learning,species_card,,,,,,,,
pmp-policy-review-0148,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/150308702.jpeg,Cygnus olor,Mute Swan,multiple_organisms,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,,,,,,,,
pmp-policy-review-0044,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/112697174.jpeg,Anser anser,Greylag Goose,multiple_organisms,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|indirect_evidence_learning,species_card,,,,,,,,
pmp-policy-review-0209,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/194623316.jpg,Turdus philomelos,Song Thrush,dead_organism,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,confusion_learning,basic_identification|species_card,,,,,,,,
pmp-policy-review-0229,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/227858760.jpeg,Hirundo rustica rustica,White-bellied Barn Swallow,dead_organism,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,,basic_identification|confusion_learning|species_card,,,,,,,,
pmp-policy-review-0208,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/192799652.jpg,Cygnus olor,Mute Swan,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,,,,,,,,
pmp-policy-review-0280,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/26274394.jpeg,Fulica atra,Eurasian Coot,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,,,,,,,,
pmp-policy-review-0015,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/108344756.jpg,Cygnus olor,Mute Swan,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,,,,,,,,
pmp-policy-review-0345,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/32181678.jpg,Phalacrocorax carbo,Great Cormorant,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,,,,,,,,
pmp-policy-review-0149,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/150309125.jpeg,Anas platyrhynchos,Mallard,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,,,,,,,,
pmp-policy-review-0326,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/29903211.jpeg,Larus argentatus,European Herring Gull,whole_organism,profile_valid,field_observation|species_card,basic_identification|confusion_learning|morphology_learning,,,,,,,,,
