review_item_id,media_key,source_media_id,observation_id,image_url,local_image_path,scientific_name,common_name_fr,common_name_en,common_name_nl,canonical_taxon_id,source_taxon_id,metadata_join_status,organism_group,evidence_type,review_status,failure_reason,global_quality_score,basic_identification_score,field_observation_score,confusion_learning_score,morphology_learning_score,species_card_score,indirect_evidence_learning_score,policy_status,eligible_database_uses,borderline_database_uses,not_recommended_database_uses,basic_identification_policy,field_observation_policy,confusion_learning_policy,morphology_learning_policy,species_card_policy,indirect_evidence_learning_policy,policy_notes,visible_field_marks_summary,limitations_summary,technical_quality,subject_visibility,diagnostic_feature_visibility,biological_sex_value,biological_life_stage_value,biological_plumage_state_value,biological_seasonal_state_value,human_overall_judgment,human_basic_identification_judgment,human_field_observation_judgment,human_confusion_learning_judgment,human_morphology_learning_judgment,human_species_card_judgment,human_indirect_evidence_learning_judgment,human_evidence_type_judgment,human_field_marks_judgment,human_notes,reviewer_name,reviewed_at
pmp-policy-review-0138,inaturalist::14306882,14306882,10205396,https://inaturalist-open-data.s3.amazonaws.com/photos/14306882/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/14306882.jpg,Podiceps cristatus,,Great Crested Grebe,,taxon:birds:000070,4208,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,,,,,,,,,,,,
pmp-policy-review-0283,inaturalist::264553506,264553506,153190763,https://inaturalist-open-data.s3.amazonaws.com/photos/264553506/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/264553506.jpeg,Podiceps cristatus,,Great Crested Grebe,,taxon:birds:000070,4208,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,,,,,,,,,,,,
pmp-policy-review-0284,inaturalist::264553526,264553526,153190768,https://inaturalist-open-data.s3.amazonaws.com/photos/264553526/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/264553526.jpeg,Larus argentatus,,European Herring Gull,,taxon:birds:000027,204533,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,,,,,,,,,,,,
pmp-policy-review-0213,inaturalist::197128124,197128124,116769052,https://inaturalist-open-data.s3.amazonaws.com/photos/197128124/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/197128124.jpg,Coccothraustes coccothraustes,,Hawfinch,,taxon:birds:000019,9801,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,,,,,,,,,,,,
pmp-policy-review-0335,inaturalist::30487921,30487921,19783381,https://inaturalist-open-data.s3.amazonaws.com/photos/30487921/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/30487921.jpg,Phoenicurus ochruros,,Black Redstart,,taxon:birds:000020,13000,joined_from_manifest,,,,,,,,,,,,pre_ai_rejected,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pre_ai_status:insufficient_resolution_pre_ai,,,,,,,,,,,,,,,,,,,,,
pmp-policy-review-0157,inaturalist::155810806,155810806,93964525,https://inaturalist-open-data.s3.amazonaws.com/photos/155810806/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/155810806.jpeg,Falco peregrinus,,Peregrine Falcon,,taxon:birds:000034,4647,joined_from_manifest,bird,multiple_organisms,valid,,93,58,85,64,69,43,61,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,borderline,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,head:malar stripe | beak:hooked raptor beak | head:dark cap,,medium,high,high,unknown,adult,unknown,unknown,,,,,,,,,,,,
pmp-policy-review-0148,inaturalist::150308702,150308702,90930848,https://inaturalist-open-data.s3.amazonaws.com/photos/150308702/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/150308702.jpeg,Cygnus olor,,Mute Swan,,taxon:birds:000023,6921,joined_from_manifest,bird,multiple_organisms,valid,,100,60,90,64,72,50,62,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,eligible,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,whole_body:large white body | beak:orange bill with black knob,,high,high,high,unknown,adult,unknown,unknown,,,,,,,,,,,,
pmp-policy-review-0044,inaturalist::112697174,112697174,69455085,https://inaturalist-open-data.s3.amazonaws.com/photos/112697174/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/112697174.jpeg,Anser anser,,Greylag Goose,,taxon:birds:000022,7018,joined_from_manifest,bird,multiple_organisms,valid,,94,58,84,63,66,45,58,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,borderline,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,whole_body:orange bill and pinkish-grey body | whole_body:black and white plumage patterns,Foreground obstruction due to wire,medium,high,high,unknown,adult,unknown,non_breeding_season,,,,,,,,,,,,
pmp-policy-review-0209,inaturalist::194623316,194623316,115142010,https://inaturalist-open-data.s3.amazonaws.com/photos/194623316/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/194623316.jpg,Turdus philomelos,,Song Thrush,,taxon:birds:000015,12748,joined_from_manifest,bird,dead_organism,valid,,99,64,80,51,79,48,78,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,confusion_learning,basic_identification|species_card,not_recommended,eligible,borderline,eligible,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,breast:spotted breast pattern | back:brown plumage with streaking,specimen is deceased,high,high,high,unknown,adult,unknown,unknown,,,,,,,,,,,,
pmp-policy-review-0229,inaturalist::227858760,227858760,133743842,https://inaturalist-open-data.s3.amazonaws.com/photos/227858760/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/227858760.jpeg,Hirundo rustica rustica,,White-bellied Barn Swallow,,taxon:birds:000043,353304,joined_from_manifest,bird,dead_organism,valid,,91,52,77,47,73,43,80,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,,basic_identification|confusion_learning|species_card,not_recommended,eligible,not_recommended,eligible,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,legs:banding on leg | whole_body:downy plumage,Subject is deceased; visible features are immature. | subject is a young nestling; identification is challenging,high,high,medium,unknown,juvenile,juvenile_plumage,breeding_season,,,,,,,,,,,,
