review_item_id,media_key,source_media_id,observation_id,image_url,local_image_path,scientific_name,common_name_fr,common_name_en,common_name_nl,canonical_taxon_id,source_taxon_id,metadata_join_status,organism_group,evidence_type,review_status,failure_reason,global_quality_score,basic_identification_score,field_observation_score,confusion_learning_score,morphology_learning_score,species_card_score,indirect_evidence_learning_score,policy_status,eligible_database_uses,borderline_database_uses,not_recommended_database_uses,basic_identification_policy,field_observation_policy,confusion_learning_policy,morphology_learning_policy,species_card_policy,indirect_evidence_learning_policy,policy_notes,visible_field_marks_summary,limitations_summary,technical_quality,subject_visibility,diagnostic_feature_visibility,biological_sex_value,biological_life_stage_value,biological_plumage_state_value,biological_seasonal_state_value,human_overall_judgment,human_basic_identification_judgment,human_field_observation_judgment,human_confusion_learning_judgment,human_morphology_learning_judgment,human_species_card_judgment,human_indirect_evidence_learning_judgment,human_evidence_type_judgment,human_field_marks_judgment,human_notes,reviewer_name,reviewed_at
pmp-policy-review-0103,inaturalist::128706889,128706889,78632034,https://inaturalist-open-data.s3.amazonaws.com/photos/128706889/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/128706889.jpg,Phoenicurus ochruros,,Black Redstart,,taxon:birds:000020,13000,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,"perfect photo for the quizz, bord very clear, no obstacle. very high score photo its almost perfect",,,,,,,,,,,
pmp-policy-review-0078,inaturalist::12273607,12273607,9087583,https://inaturalist-open-data.s3.amazonaws.com/photos/12273607/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/12273607.jpg,Passer domesticus,,House Sparrow,,taxon:birds:000009,13858,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,"difficile de voir l'espèce, peu de contraste, deux individus présents et quasiment de la meme couleur que la marre dans laquelle ils se trouvetn. utilisable mais compliqué",,,,,,,,,,,
pmp-policy-review-0064,inaturalist::11889145,11889145,8846932,https://inaturalist-open-data.s3.amazonaws.com/photos/11889145/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/11889145.jpg,Parus major,,Great Tit,,taxon:birds:000008,203153,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,utilisable mais photo prise derrière une moustiquaire donc premier plan tout grillagé. mais possible de reconnaitre l'espèce assez de traits visibles,,,,,,,,,,,
pmp-policy-review-0104,inaturalist::128796357,128796357,78681003,https://inaturalist-open-data.s3.amazonaws.com/photos/128796357/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/128796357.jpg,Passer domesticus,,House Sparrow,,taxon:birds:000009,13858,joined_from_manifest,,,failed,schema_validation_failed,,,,,,,,profile_failed,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pmp_review_status_failed | outcome_status_pedagogical_media_profile_failed,,,,,,,,,,"photo parfaite pour identification, bonne qualité, plan propre, une photo qui mérite un très très bon score",,,,,,,,,,,
pmp-policy-review-0037,inaturalist::11114781,11114781,8361982,https://inaturalist-open-data.s3.amazonaws.com/photos/11114781/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/11114781.jpeg,Ardea cinerea,,Grey Heron,,taxon:birds:000029,4954,joined_from_manifest,,,,,,,,,,,,pre_ai_rejected,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,pre_ai_status:insufficient_resolution_pre_ai,,,,,,,,,,"photo de relativement mauvaise qualité mais individu clairement visible et pas trop loin, simplement mauvaise qualité technique et peu de détails mais reconnaissable",,,,,,,,,,,
pmp-policy-review-0011,inaturalist::106553706,106553706,66137869,https://inaturalist-open-data.s3.amazonaws.com/photos/106553706/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/106553706.jpg,Anser anser domesticus,,Domestic Greylag Goose,,taxon:birds:000022,120479,joined_from_manifest,bird,multiple_organisms,valid,,93,58,84,63,70,45,58,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,eligible,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,beak:orange bill and greyish brown plumage | head:black head and neck pattern on geese,presence of multiple distinct species,medium,high,high,unknown,adult,unknown,unknown,"très bonne photo avec 3 individus mais je ne suis pas sur qu'ils soient de la meme espèce. sinon bonne qualité dans leur environnement (marre) dans l'eau, critères distinctifs ok. j'aime bien",,,,,,,,,,,
pmp-policy-review-0117,inaturalist::133975096,133975096,81671907,https://inaturalist-open-data.s3.amazonaws.com/photos/133975096/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/133975096.jpg,Passer domesticus,,House Sparrow,,taxon:birds:000009,13858,joined_from_manifest,bird,dead_organism,valid,,99,60,80,45,75,48,78,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,,basic_identification|confusion_learning|species_card,not_recommended,eligible,not_recommended,eligible,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,belly:ventral plumage and wing structure | beak:beak shape,subject is deceased | dead organism viewed from ventral aspect,high,high,medium,unknown,adult,unknown,unknown,"bonne analyse, rien a redire, ",,,,,,,,,,,
pmp-policy-review-0097,inaturalist::12710696,12710696,9362464,https://inaturalist-open-data.s3.amazonaws.com/photos/12710696/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/12710696.jpg,Cyanistes caeruleus,,Eurasian Blue Tit,,taxon:birds:000003,144849,joined_from_manifest,bird,multiple_organisms,valid,,100,60,90,63,72,50,62,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,eligible,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,whole_body:distinctive long tails and black and white pattern of Long-tailed Tits,,high,high,high,unknown,adult,unknown,unknown,"erreur ici, il y a des orites a longue queue et des mésanges bleues présentes sur la meme photo. l'ia reconnait les orites car il y en a plus mais l'observation est classée comme mésange bleue dans le corpus. analys photo ok mais réfléchir au problème",,,,,,,,,,,
pmp-policy-review-0072,inaturalist::12159188,12159188,9017019,https://inaturalist-open-data.s3.amazonaws.com/photos/12159188/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/12159188.jpg,Sturnus vulgaris,,European Starling,,taxon:birds:000011,14850,joined_from_manifest,bird,habitat,valid,,32,1,50,4,12,6,78,profile_valid,indirect_evidence_learning,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,not_recommended,borderline,not_recommended,not_recommended,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,,"Subject absent from image. Only environmental context provided. | The media depicts a bird feeder and habitat, but no bird is visible.",medium,none,none,unknown,unknown,unknown,unknown,"mauvaise observation, simplement un jardin, impossible de savoir de quelle espèce on parle. vraiment pas bien a utiliser ",,,,,,,,,,,
pmp-policy-review-0043,inaturalist::111276293,111276293,68683974,https://inaturalist-open-data.s3.amazonaws.com/photos/111276293/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/111276293.jpeg,Carduelis carduelis,,European Goldfinch,,taxon:birds:000016,9398,joined_from_manifest,bird,multiple_organisms,valid,,96,59,85,63,62,48,62,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|indirect_evidence_learning,species_card,borderline,eligible,borderline,borderline,not_recommended,borderline,multiple_organisms_stricter_species_card | global_quality_is_broad_signal_not_selection,whole_body:red face and black/yellow wing bars,,high,medium,high,unknown,adult,non_breeding_plumage,wintering,"bonne image d'individus dans la neige en train de grignoter, plusieurs individus clairement identifiables sous différents points de vue. très bonne photo",,,,,,,,,,,
